Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Roumanie","Population totale","Population","2008","21965"
"Bilans Alimentaires","Roumanie","Population totale","Population","2013","21699"
"Bilans Alimentaires","Royaume-Uni","Population totale","Population","2008","61573"
"Bilans Alimentaires","Royaume-Uni","Population totale","Population","2013","63384"
"Bilans Alimentaires","Rwanda","Population totale","Population","2008","10223"
"Bilans Alimentaires","Rwanda","Population totale","Population","2013","11777"
"Bilans Alimentaires","Sainte-Lucie","Population totale","Population","2008","173"
"Bilans Alimentaires","Sainte-Lucie","Population totale","Population","2013","182"
"Bilans Alimentaires","Saint-Kitts-et-Nevis","Population totale","Population","2008","51"
"Bilans Alimentaires","Saint-Kitts-et-Nevis","Population totale","Population","2013","54"
"Bilans Alimentaires","Saint-Vincent-et-les Grenadines","Population totale","Population","2008","109"
"Bilans Alimentaires","Saint-Vincent-et-les Grenadines","Population totale","Population","2013","109"
"Bilans Alimentaires","Samoa","Population totale","Population","2008","183"
"Bilans Alimentaires","Samoa","Population totale","Population","2013","190"
"Bilans Alimentaires","Sao Tomé-et-Principe","Population totale","Population","2008","168"
"Bilans Alimentaires","Sao Tomé-et-Principe","Population totale","Population","2013","193"
"Bilans Alimentaires","Sénégal","Population totale","Population","2008","12239"
"Bilans Alimentaires","Sénégal","Population totale","Population","2013","14133"
"Bilans Alimentaires","Serbie","Population totale","Population","2008","9761"
"Bilans Alimentaires","Serbie","Population totale","Population","2013","9511"
"Bilans Alimentaires","Sierra Leone","Population totale","Population","2008","5532"
"Bilans Alimentaires","Sierra Leone","Population totale","Population","2013","6092"
"Bilans Alimentaires","Slovaquie","Population totale","Population","2008","5415"
"Bilans Alimentaires","Slovaquie","Population totale","Population","2013","5450"
"Bilans Alimentaires","Slovénie","Population totale","Population","2008","2032"
"Bilans Alimentaires","Slovénie","Population totale","Population","2013","2072"
"Bilans Alimentaires","Soudan","Population totale","Population","2013","37964"
"Bilans Alimentaires","Soudan (ex)","Population totale","Population","2008","41415"
"Bilans Alimentaires","Sri Lanka","Population totale","Population","2008","20452"
"Bilans Alimentaires","Sri Lanka","Population totale","Population","2013","21273"
"Bilans Alimentaires","Suède","Population totale","Population","2008","9235"
"Bilans Alimentaires","Suède","Population totale","Population","2013","9571"
"Bilans Alimentaires","Suisse","Population totale","Population","2008","7653"
"Bilans Alimentaires","Suisse","Population totale","Population","2013","8078"
"Bilans Alimentaires","Suriname","Population totale","Population","2008","515"
"Bilans Alimentaires","Suriname","Population totale","Population","2013","539"
"Bilans Alimentaires","Eswatini","Population totale","Population","2008","1154"
"Bilans Alimentaires","Eswatini","Population totale","Population","2013","1250"
"Bilans Alimentaires","Tadjikistan","Population totale","Population","2008","7275"
"Bilans Alimentaires","Tadjikistan","Population totale","Population","2013","8208"
"Bilans Alimentaires","Tchad","Population totale","Population","2008","11031"
"Bilans Alimentaires","Tchad","Population totale","Population","2013","12825"
"Bilans Alimentaires","Tchéquie (la)","Population totale","Population","2008","10412"
"Bilans Alimentaires","Tchéquie (la)","Population totale","Population","2013","10702"
"Bilans Alimentaires","Thaïlande","Population totale","Population","2008","66185"
"Bilans Alimentaires","Thaïlande","Population totale","Population","2013","67011"
