Domaine,Zone,Élément,Produit,Année,Valeur
"Cultures et produits animaux","Tunisie","Importations - Quantité","Viande de Volailles","2013","1524"
"Cultures et produits animaux","Turkménistan","Importations - Quantité","Viande de Volailles","2013","600"
"Cultures et produits animaux","Turquie","Importations - Quantité","Viande de Volailles","2013","368"
"Cultures et produits animaux","Tuvalu","Importations - Quantité","Viande de Volailles","2013","367"
"Cultures et produits animaux","Ukraine","Importations - Quantité","Viande de Volailles","2013","74634"
"Cultures et produits animaux","Uruguay","Importations - Quantité","Viande de Volailles","2013","4161"
"Cultures et produits animaux","Vanuatu","Importations - Quantité","Viande de Volailles","2013","2040"
"Cultures et produits animaux","Venezuela (République bolivarienne du)","Importations - Quantité","Viande de Volailles","2013","278876"
"Cultures et produits animaux","Viet Nam","Importations - Quantité","Viande de Volailles","2013","115187"
"Cultures et produits animaux","Yémen","Importations - Quantité","Viande de Volailles","2013","109272"
"Cultures et produits animaux","Zambie","Importations - Quantité","Viande de Volailles","2013","1869"
"Cultures et produits animaux","Zimbabwe","Importations - Quantité","Viande de Volailles","2013","6320"
