Domaine,Zone,Élément,Produit,Année,Valeur
"Élevage primaire","Togo","Production","Viande, volaille","2013","32000"
"Élevage primaire","Tokélaou","Production","Viande, volaille","2013","5"
"Élevage primaire","Tonga","Production","Viande, volaille","2013","294"
"Élevage primaire","Trinité-et-Tobago","Production","Viande, volaille","2013","66578"
"Élevage primaire","Tunisie","Production","Viande, volaille","2013","138800"
"Élevage primaire","Turkménistan","Production","Viande, volaille","2013","21250"
"Élevage primaire","Turquie","Production","Viande, volaille","2013","1758363"
"Élevage primaire","Tuvalu","Production","Viande, volaille","2013","58"
"Élevage primaire","Ukraine","Production","Viande, volaille","2013","1168300"
"Élevage primaire","Uruguay","Production","Viande, volaille","2013","44000"
"Élevage primaire","Vanuatu","Production","Viande, volaille","2013","1008"
"Élevage primaire","Venezuela (République bolivarienne du)","Production","Viande, volaille","2013","915385"
"Élevage primaire","Viet Nam","Production","Viande, volaille","2013","575752"
"Élevage primaire","Yémen","Production","Viande, volaille","2013","152500"
"Élevage primaire","Zambie","Production","Viande, volaille","2013","46000"
"Élevage primaire","Zimbabwe","Production","Viande, volaille","2013","63825"
